parameter,0,1,2,3,4,5,6,7,8,9,min,avg,max,σ,μ-σ,μ+σ,
914,803393,483517,526536,338349,426815,427103,607637,821618,498827,568334,338349.00,550212.90,821618.00,326697.41,494920.59,1148315.41,
915,803392,483517,526536,338349,426815,427102,607637,821616,498827,568337,338349.00,550212.80,821616.00,326695.45,494920.55,1148311.45,
916,803392,483519,526536,338349,426816,427102,607638,821616,498828,568337,338349.00,550213.30,821616.00,326694.90,494921.10,1148310.90,
917,803392,483518,526436,338350,426815,427103,607636,821617,498829,568336,338350.00,550203.20,821617.00,326705.93,494911.07,1148322.93,
918,803393,483517,526535,338350,426816,427104,607637,821620,498829,568337,338350.00,550213.80,821620.00,326698.43,494921.57,1148318.43,
919,803393,483515,526436,338351,426815,427103,607637,821620,498831,568336,338351.00,550203.70,821620.00,326708.57,494911.43,1148328.57,
920,803392,483514,526436,338351,426816,427102,607637,821618,498831,568336,338351.00,550203.30,821618.00,326706.85,494911.15,1148324.85,
921,803390,483514,526535,338351,426816,427103,607638,821619,498832,568337,338351.00,550213.50,821619.00,326697.43,494921.57,1148316.43,
922,803392,483515,526535,338351,426817,427103,607638,821620,498829,568337,338351.00,550213.70,821620.00,326698.43,494921.57,1148318.43,
923,803391,483513,526535,338351,426818,427103,607638,821619,498830,568337,338351.00,550213.50,821619.00,326697.49,494921.51,1148316.49,
924,803390,483513,526435,338351,426817,427103,607638,821620,498831,568337,338351.00,550203.50,821620.00,326708.47,494911.53,1148328.47,
925,803389,483513,526435,338350,426820,427103,596300,821618,498832,568337,338350.00,549069.70,821618.00,327552.16,494065.84,1149170.16,
926,803390,483513,526435,338351,426817,427104,596301,821618,498833,568337,338351.00,549069.90,821618.00,327552.08,494065.92,1149170.08,
927,803390,483513,526436,338350,426816,427104,607638,821619,498833,568338,338350.00,550203.70,821619.00,326707.31,494911.69,1148326.31,
928,803390,483515,526434,338351,426816,427104,607638,821620,498833,568339,338351.00,550204.00,821620.00,326707.95,494912.05,1148327.95,
929,803391,483512,526434,338351,426816,427104,607638,821620,498831,568338,338351.00,550203.50,821620.00,326708.60,494911.40,1148328.60,
930,803391,483512,526434,338352,426816,427104,607638,821620,498831,568340,338352.00,550203.80,821620.00,326708.27,494911.73,1148328.27,
931,803391,483513,526435,338351,426814,427104,607638,821619,498831,568338,338351.00,550203.40,821619.00,326707.74,494911.26,1148326.74,
932,803392,483513,526435,338353,426814,427104,596300,821619,498831,568340,338353.00,549070.10,821619.00,327553.11,494065.89,1149172.11,
